feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
contrast+abcd_v2,2,raw,lgbm,"n=300,lv=7,lr=0.03",all,61,0.7233333333333334,0.7470740756492975,0.7579365079365079
all+contrast+abcd_v2+boundary,4,raw,xgb,"n=200,d=3,lr=0.05",all,182,0.73,0.7489721338246559,0.7574603174603175
all+contrast+abcd_v2,3,raw,lgbm,"n=300,lv=7,lr=0.03",100,164,0.7333333333333333,0.7509087950521707,0.7573544973544974
all+contrast+boundary+melnv,4,raw,xgb,"n=150,d=2,lr=0.05",all,232,0.735,0.7499908061941863,0.7570370370370371
all+abcd_v2+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,207,0.7233333333333334,0.7472676872009464,0.756084656084656
contrast+abcd_v2+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",100,138,0.7233333333333334,0.7411333566083002,0.7556084656084656
all+contrast+abcd_v2+boundary+melnv,5,raw,xgb,"n=200,d=3,lr=0.05",all,259,0.7366666666666667,0.7513238573021183,0.7552910052910052
all+melnv,2,raw,xgb,"n=200,d=3,lr=0.05",100,180,0.7366666666666667,0.7517214433150596,0.7552910052910052
all+abcd_v2+boundary+melnv,4,raw,lgbm,"n=300,lv=15,lr=0.05",100,225,0.7366666666666667,0.752440060466047,0.7548148148148148
abcd_v2+melnv,2,raw,xgb,"n=150,d=2,lr=0.05",all,104,0.7133333333333334,0.7386382623224729,0.7543915343915343
all+contrast+abcd_v2+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",all,241,0.7283333333333334,0.7483878407649099,0.7542328042328043
all+abcd_v2+boundary+melnv,4,raw,xgb,"n=200,d=3,lr=0.05",all,225,0.7233333333333334,0.7464417843466329,0.7541798941798942
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=300,lv=15,lr=0.05",all,259,0.7316666666666667,0.7475545067693331,0.7538095238095238
all+contrast+abcd_v2,3,raw,xgb,"n=150,d=2,lr=0.05",all,164,0.715,0.7377608832502057,0.7538095238095237
all+contrast+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",100,214,0.7383333333333333,0.751552826124208,0.7535978835978835
contrast+abcd_v2,2,raw,lgbm,"n=200,lv=7,lr=0.05",all,61,0.7216666666666667,0.7423705398853239,0.7535449735449736
contrast+abcd_v2,2,raw,lgbm,"n=200,lv=7,lr=0.05",100,61,0.7216666666666667,0.7423705398853239,0.7535449735449736
