feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
all+boundary,2,raw,lr,C=1.0,100,121,0.7233333333333334,0.7453926734977565,0.7535449735449736
all+abcd_v2+boundary+melnv,4,raw,lr,C=0.3,100,225,0.7066666666666667,0.7293165226861893,0.7470899470899471
all+abcd_v2+boundary+melnv,4,raw,lr,C=1.0,100,225,0.705,0.7267644396237626,0.741005291005291
all,1,raw,lr,C=1.0,100,103,0.7233333333333334,0.7340000925046728,0.739153439153439
all+contrast,2,raw,lr,C=1.0,100,137,0.7116666666666667,0.724099586698976,0.7372486772486773
all+boundary,2,raw,lr,C=0.3,100,121,0.7066666666666667,0.7265108625913032,0.736984126984127
all+contrast+boundary,3,raw,lr,C=0.3,100,155,0.7083333333333334,0.7230234447042614,0.7335978835978837
contrast+abcd_v2,2,raw,lr,C=1.0,100,61,0.6983333333333334,0.7251003520400833,0.7330687830687831
contrast+abcd_v2,2,raw,lr,C=0.3,100,61,0.6933333333333334,0.7206231960920634,0.7323280423280424
all+melnv,2,raw,lr,C=0.3,100,180,0.6883333333333334,0.7129360812425328,0.7306349206349206
all+abcd_v2+boundary,3,raw,lr,C=0.3,100,148,0.7133333333333334,0.7261608836847652,0.7305820105820106
all+abcd_v2+melnv,3,raw,lr,C=0.3,100,207,0.6866666666666666,0.7117084865352764,0.7304232804232805
all+boundary+melnv,3,raw,lr,C=1.0,100,198,0.7033333333333334,0.7239619639369405,0.7292592592592593
all+contrast+abcd_v2+boundary+melnv,5,raw,lr,C=1.0,100,259,0.6983333333333334,0.7173502368375285,0.7280952380952382
all+contrast+abcd_v2+boundary+melnv,5,raw,lr,C=0.3,100,259,0.6983333333333334,0.715496841542509,0.7276190476190476
contrast+boundary,2,raw,lr,C=0.3,100,52,0.6916666666666667,0.7112852756523838,0.7267195767195768
all+contrast+boundary,3,raw,lr,C=1.0,100,155,0.705,0.7179199194775864,0.7266666666666666
contrast+abcd_v2+boundary,3,raw,lr,C=0.3,100,79,0.695,0.7160032561950157,0.7261375661375661
all+boundary+melnv,3,raw,lr,C=0.3,100,198,0.69,0.7116879900060309,0.7255555555555556
all+contrast,2,raw,lr,C=0.3,100,137,0.7,0.7143431037048059,0.7254497354497355
contrast+abcd_v2+boundary,3,raw,lr,C=1.0,100,79,0.695,0.717268666909959,0.7242328042328042
all+abcd_v2+melnv,3,raw,lr,C=1.0,100,207,0.6866666666666666,0.7071656501065421,0.7228571428571429
all+abcd_v2,2,raw,lr,C=0.3,100,130,0.705,0.719032345235158,0.7219576719576719
contrast+boundary,2,raw,lr,C=1.0,100,52,0.6866666666666666,0.7059817754262198,0.7214814814814815
all+contrast+abcd_v2+boundary,4,raw,svm,C=100,100,182,0.715,0.7369512225250969,0.7207936507936509
all+contrast+abcd_v2+boundary,4,raw,svm,C=30,100,182,0.715,0.7369512225250969,0.7207936507936509
all+abcd_v2,2,raw,lr,C=1.0,100,130,0.7066666666666667,0.7208454413688267,0.7197883597883598
all+contrast+abcd_v2,3,raw,lr,C=1.0,100,164,0.6983333333333334,0.708606189405359,0.7191534391534392
all+abcd_v2+boundary,3,raw,lr,C=1.0,100,148,0.7,0.7120196530522618,0.7191005291005291
all+contrast+abcd_v2+boundary,4,raw,svm,C=10,100,182,0.7083333333333334,0.7317291547454032,0.7158730158730159
all+melnv,2,raw,lr,C=1.0,100,180,0.6816666666666666,0.708056566752219,0.7155555555555555
all+contrast+abcd_v2+boundary,4,raw,lr,C=0.3,100,182,0.6883333333333334,0.7017699595925984,0.7146031746031746
all+contrast+abcd_v2,3,raw,lr,C=0.3,100,164,0.695,0.7056555568689801,0.7143386243386244
all+contrast+boundary+melnv,4,raw,lr,C=0.3,100,232,0.685,0.7012801719950437,0.7137566137566137
contrast,1,raw,lr,C=1.0,100,34,0.6783333333333333,0.6995882535512048,0.7135449735449736
all+contrast+abcd_v2,3,raw,svm,C=30,100,164,0.7,0.7298379067328531,0.7133862433862433
all+contrast+abcd_v2,3,raw,svm,C=100,100,164,0.7,0.7298379067328531,0.7133862433862433
all+contrast+abcd_v2+boundary+melnv,5,raw,svm,C=10,100,259,0.6966666666666667,0.7271190966826424,0.7128042328042329
contrast,1,raw,lr,C=0.3,100,34,0.6766666666666666,0.6988085982802533,0.7117460317460318
all+contrast+abcd_v2+boundary+melnv,5,raw,svm,C=100,100,259,0.6933333333333334,0.724952409330113,0.7110582010582011
all+contrast+abcd_v2+boundary+melnv,5,raw,svm,C=30,100,259,0.6933333333333334,0.724952409330113,0.7110582010582011
all+contrast+boundary+melnv,4,raw,lr,C=1.0,100,232,0.685,0.7034482910752273,0.7108994708994709
all,1,raw,lr,C=0.3,100,103,0.6966666666666667,0.7054255020785,0.7107407407407407
abcd_v2+melnv,2,raw,lr,C=0.3,100,104,0.6783333333333333,0.702901295564339,0.7097883597883597
contrast+melnv,2,raw,lr,C=0.3,100,111,0.6833333333333333,0.6984617881428826,0.708888888888889
all+abcd_v2+boundary,3,raw,svm,C=10,100,148,0.7016666666666667,0.7274681328353955,0.7083597883597884
all+contrast+melnv,3,raw,svm,C=10,100,214,0.6933333333333334,0.7242682024687007,0.7082539682539682
all+contrast+abcd_v2+melnv,4,raw,lr,C=0.3,100,241,0.6833333333333333,0.6994472087139291,0.707936507936508
all+contrast+abcd_v2+melnv,4,raw,lr,C=1.0,100,241,0.6866666666666666,0.7022494146596064,0.7075661375661375
contrast+abcd_v2+melnv,3,raw,lr,C=0.3,100,138,0.6783333333333333,0.7018487779683458,0.7074074074074073
all+contrast+abcd_v2,3,raw,svm,C=10,100,164,0.6933333333333334,0.724031187631274,0.707037037037037
contrast+abcd_v2,2,raw,svm,C=10,100,61,0.6883333333333334,0.7139257474365975,0.7067724867724867
all+contrast+abcd_v2+melnv,4,raw,svm,C=10,100,241,0.6916666666666667,0.7193923514403803,0.7064021164021165
all+abcd_v2+boundary,3,raw,svm,C=100,100,148,0.6966666666666667,0.7233459422217833,0.704074074074074
all+abcd_v2+boundary,3,raw,svm,C=30,100,148,0.6966666666666667,0.7233459422217833,0.704074074074074
all+contrast+abcd_v2+boundary,4,raw,lr,C=1.0,100,182,0.68,0.6946163693319852,0.7035978835978836
contrast+abcd_v2+boundary+melnv,4,raw,lr,C=0.3,100,156,0.6733333333333333,0.6975801705017162,0.7033862433862433
all+contrast+boundary,3,raw,svm,C=100,100,155,0.6966666666666667,0.7186440822205924,0.7031746031746032
all+contrast+boundary,3,raw,svm,C=30,100,155,0.6966666666666667,0.7186440822205924,0.7031746031746032
all+contrast+boundary,3,raw,svm,C=10,100,155,0.6966666666666667,0.7184389908045045,0.7026984126984127
all+contrast+abcd_v2+melnv,4,raw,svm,C=100,100,241,0.685,0.7145679012345679,0.7019576719576719
all+contrast+abcd_v2+melnv,4,raw,svm,C=30,100,241,0.685,0.7145679012345679,0.7019576719576719
contrast,1,raw,svm,C=10,100,34,0.67,0.6994682182182181,0.7018518518518517
all+contrast+melnv,3,raw,svm,C=30,100,214,0.685,0.7175888302143681,0.7012698412698413
all+contrast+melnv,3,raw,svm,C=100,100,214,0.685,0.7175888302143681,0.7012698412698413
all+boundary,2,raw,svm,C=10,100,121,0.7033333333333334,0.7139302203007324,0.7005291005291006
all+contrast,2,raw,svm,C=10,100,137,0.6933333333333334,0.7127408539173246,0.6993121693121692
all+contrast+melnv,3,raw,lr,C=0.3,100,214,0.67,0.6867345274731056,0.699047619047619
contrast+melnv,2,raw,lr,C=1.0,100,111,0.6683333333333333,0.6869286073648505,0.6974603174603174
all+contrast+melnv,3,raw,lr,C=1.0,100,214,0.6666666666666666,0.6898829864347106,0.697037037037037
abcd_v2+melnv,2,raw,lr,C=1.0,100,104,0.67,0.6946876163214378,0.6961904761904764
all+contrast+boundary+melnv,4,raw,svm,C=10,100,232,0.6816666666666666,0.7131881781796019,0.6955026455026455
contrast+boundary,2,raw,svm,C=10,100,52,0.6766666666666666,0.706071397526815,0.6951851851851852
contrast+boundary+melnv,3,raw,lr,C=0.3,100,129,0.665,0.683687195883102,0.6940740740740741
contrast+abcd_v2+boundary+melnv,4,raw,lr,C=1.0,100,156,0.6566666666666666,0.6829781152570327,0.6929629629629629
all+contrast,2,raw,svm,C=30,100,137,0.6866666666666666,0.7069803402581748,0.6924867724867725
contrast+abcd_v2+melnv,3,raw,lr,C=1.0,100,138,0.665,0.6899078042259742,0.6919047619047619
contrast+abcd_v2,2,raw,svm,C=100,100,61,0.6666666666666666,0.6978833297939309,0.6918518518518518
contrast+abcd_v2,2,raw,svm,C=30,100,61,0.6666666666666666,0.6978833297939309,0.6918518518518518
all+contrast+boundary+melnv,4,raw,svm,C=30,100,232,0.6733333333333333,0.7071682323857497,0.6899470899470899
all+contrast+boundary+melnv,4,raw,svm,C=100,100,232,0.6733333333333333,0.7071682323857497,0.6899470899470899
abcd_v2+boundary+melnv,3,raw,lr,C=1.0,100,122,0.6616666666666666,0.6881357417427519,0.6898941798941799
all+abcd_v2,2,raw,svm,C=10,100,130,0.68,0.707695186388256,0.6889417989417991
all+abcd_v2+melnv,3,raw,svm,C=10,100,207,0.67,0.7040275156824385,0.6888888888888888
abcd_v2+boundary+melnv,3,raw,lr,C=0.3,100,122,0.6566666666666666,0.6834955863100326,0.6884656084656084
all+abcd_v2,2,raw,svm,C=100,100,130,0.68,0.7071346291632893,0.687989417989418
all+abcd_v2,2,raw,svm,C=30,100,130,0.68,0.7071346291632893,0.687989417989418
all+abcd_v2+melnv,3,raw,svm,C=30,100,207,0.6683333333333333,0.7028325847956293,0.6877777777777778
all+abcd_v2+melnv,3,raw,svm,C=100,100,207,0.6683333333333333,0.7028325847956293,0.6877777777777778
all+contrast,2,raw,svm,C=100,100,137,0.68,0.7018982932776036,0.6875661375661376
contrast,1,raw,svm,C=30,100,34,0.655,0.6850476165816645,0.6852380952380953
contrast+boundary+melnv,3,raw,lr,C=1.0,100,129,0.6583333333333333,0.6765564845372646,0.6851322751322751
all+boundary,2,raw,svm,C=30,100,121,0.6866666666666666,0.6990391139578104,0.6846560846560847
abcd_v2,1,raw,lr,C=0.3,100,27,0.6566666666666666,0.6647974505117363,0.6835978835978835
all+abcd_v2+boundary+melnv,4,raw,svm,C=30,100,225,0.665,0.6990178425274185,0.6824867724867726
all+abcd_v2+boundary+melnv,4,raw,svm,C=100,100,225,0.665,0.6990178425274185,0.6824867724867726
all+abcd_v2+boundary+melnv,4,raw,svm,C=10,100,225,0.665,0.6984508328749809,0.6815343915343915
contrast+abcd_v2+boundary,3,raw,svm,C=10,100,79,0.6583333333333333,0.6842846393934686,0.6805820105820105
all,1,raw,svm,C=10,100,103,0.68,0.695342625873002,0.6804761904761905
abcd_v2,1,raw,lr,C=1.0,100,27,0.65,0.6577468470566247,0.6796296296296296
all+boundary+melnv,3,raw,svm,C=10,100,198,0.675,0.7008229401896994,0.6792592592592593
contrast+abcd_v2+boundary,3,raw,svm,C=30,100,79,0.655,0.6821873950130971,0.6788359788359788
contrast+abcd_v2+boundary,3,raw,svm,C=100,100,79,0.655,0.6821873950130971,0.6788359788359788
all+boundary,2,raw,svm,C=100,100,121,0.6766666666666666,0.6912565750727334,0.677037037037037
contrast+boundary,2,raw,svm,C=30,100,52,0.6533333333333333,0.6856461819397189,0.6749206349206349
contrast,1,raw,svm,C=100,100,34,0.6466666666666666,0.6763719611735874,0.6749206349206349
abcd_v2+boundary,2,raw,lr,C=0.3,100,45,0.6466666666666666,0.6547045050182732,0.674074074074074
contrast+boundary,2,raw,svm,C=100,100,52,0.65,0.6832651413555837,0.6726984126984127
all+boundary+melnv,3,raw,svm,C=30,100,198,0.6683333333333333,0.6947482885272057,0.6724338624338625
all+boundary+melnv,3,raw,svm,C=100,100,198,0.6683333333333333,0.6947482885272057,0.6724338624338625
all+melnv,2,raw,svm,C=10,100,180,0.6616666666666666,0.6915903882939233,0.6686772486772488
melnv,1,raw,lr,C=0.3,100,77,0.6433333333333333,0.651360686727366,0.6685185185185185
all+melnv,2,raw,svm,C=30,100,180,0.66,0.6904956975440601,0.6675661375661376
all+melnv,2,raw,svm,C=100,100,180,0.66,0.6904956975440601,0.6675661375661376
melnv,1,raw,lr,C=1.0,100,77,0.6366666666666667,0.6458932355888809,0.6655026455026455
contrast+abcd_v2+melnv,3,raw,svm,C=30,100,138,0.655,0.6846699651851095,0.6644973544973545
contrast+abcd_v2+melnv,3,raw,svm,C=100,100,138,0.655,0.6846699651851095,0.6644973544973545
contrast+abcd_v2+boundary+melnv,4,raw,svm,C=100,100,156,0.655,0.6837844805362208,0.6625925925925925
contrast+abcd_v2+boundary+melnv,4,raw,svm,C=30,100,156,0.655,0.6837844805362208,0.6625925925925925
contrast+abcd_v2+boundary+melnv,4,raw,svm,C=10,100,156,0.655,0.6835027856304453,0.6621164021164021
contrast+melnv,2,raw,svm,C=10,100,111,0.6483333333333333,0.678351702685618,0.6614285714285715
contrast+melnv,2,raw,svm,C=30,100,111,0.6483333333333333,0.6784185925008623,0.6614285714285715
boundary+melnv,2,raw,lr,C=0.3,100,95,0.6333333333333333,0.641749535867183,0.6611640211640212
all,1,raw,svm,C=30,100,103,0.6566666666666666,0.6765448411892363,0.6611111111111111
abcd_v2+boundary,2,raw,lr,C=1.0,100,45,0.635,0.6398510405587717,0.6606349206349207
all,1,raw,svm,C=100,100,103,0.6566666666666666,0.6762643860204837,0.6606349206349206
contrast+melnv,2,raw,svm,C=100,100,111,0.6466666666666666,0.676941925830449,0.6598412698412699
contrast+abcd_v2+melnv,3,raw,svm,C=10,100,138,0.6483333333333333,0.6783405813368034,0.6571957671957672
abcd_v2+melnv,2,raw,svm,C=30,100,104,0.6483333333333333,0.6755584845318388,0.655079365079365
abcd_v2+melnv,2,raw,svm,C=100,100,104,0.6483333333333333,0.6755584845318388,0.655079365079365
