feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
boundary+melnv,2,raw,lr,C=1.0,100,95,0.63,0.6361748726683861,0.6542328042328043
contrast+boundary+melnv,3,raw,svm,C=10,100,129,0.6466666666666666,0.6685084462862241,0.6504232804232805
abcd_v2+melnv,2,raw,svm,C=10,100,104,0.6433333333333333,0.6711663417803768,0.6503174603174603
contrast+boundary+melnv,3,raw,svm,C=100,100,129,0.645,0.6678659109165168,0.6483597883597884
contrast+boundary+melnv,3,raw,svm,C=30,100,129,0.645,0.6678659109165168,0.6483597883597884
abcd_v2+boundary+melnv,3,raw,svm,C=10,100,122,0.6333333333333333,0.660467187913587,0.6396296296296297
abcd_v2+boundary+melnv,3,raw,svm,C=100,100,122,0.63,0.6578202308960966,0.6369312169312169
abcd_v2+boundary+melnv,3,raw,svm,C=30,100,122,0.63,0.6578202308960966,0.6369312169312169
melnv,1,raw,svm,C=30,100,77,0.6216666666666667,0.6400616985411661,0.6295238095238095
melnv,1,raw,svm,C=100,100,77,0.6216666666666667,0.6400616985411661,0.6295238095238095
melnv,1,raw,svm,C=10,100,77,0.62,0.6407424251668045,0.6279365079365079
abcd_v2+boundary,2,raw,svm,C=10,100,45,0.635,0.6295953937130407,0.6195238095238095
boundary+melnv,2,raw,svm,C=10,100,95,0.6166666666666667,0.6308138880298503,0.6174603174603175
abcd_v2,1,raw,svm,C=10,100,27,0.63,0.6281648684198423,0.6157142857142857
boundary+melnv,2,raw,svm,C=30,100,95,0.6133333333333333,0.6281753689623478,0.6147619047619047
boundary+melnv,2,raw,svm,C=100,100,95,0.6133333333333333,0.6281753689623478,0.6147619047619047
abcd_v2+boundary,2,raw,svm,C=30,100,45,0.625,0.6211778952711241,0.6112169312169312
abcd_v2+boundary,2,raw,svm,C=100,100,45,0.6233333333333333,0.6199759279129538,0.6101058201058202
abcd_v2,1,raw,svm,C=100,100,27,0.6233333333333333,0.6212017644678983,0.6082010582010583
abcd_v2,1,raw,svm,C=30,100,27,0.6216666666666667,0.6200141238963194,0.6070899470899471
boundary,1,raw,lr,C=1.0,100,18,0.46166666666666667,0.4582399800294758,0.5325396825396825
boundary,1,raw,svm,C=10,100,18,0.5066666666666667,0.49520335998097836,0.5308994708994709
boundary,1,raw,lr,C=0.3,100,18,0.4533333333333333,0.44716417698438526,0.5258201058201059
boundary,1,raw,svm,C=30,100,18,0.515,0.4988826486168991,0.5237037037037037
boundary,1,raw,svm,C=100,100,18,0.53,0.5054399576794216,0.5203174603174604
