method,seed,balanced_accuracy,macro_f1,accuracy
single_xgb,127,0.768835978835979,0.7575339891126146,0.7283333333333334
bagged_xgb,bagged,0.768835978835979,0.7575339891126146,0.7283333333333334
bagged_stack(xgb+lr+lgbm)->lr,bagged,0.7573015873015873,0.7459110247906032,0.7166666666666667
stack(xgb+lr+lgbm)->lr,127,0.7573015873015873,0.7459110247906032,0.7166666666666667
bagged_lgbm,bagged,0.7408994708994708,0.7340267516899108,0.7066666666666667
single_lgbm,127,0.7408994708994708,0.7340267516899108,0.7066666666666667
single_lr,127,0.7242328042328042,0.717268666909959,0.695
bagged_lr,bagged,0.7242328042328042,0.717268666909959,0.695
