method,seed,balanced_accuracy,macro_f1,accuracy
single_xgb(contrast+abcd_v2+boundary),127,0.7837037037037037,0.76314886850907,0.74
bagged_xgb(contrast+abcd_v2+boundary),bagged,0.7837037037037037,0.76314886850907,0.74
bagged_stack(xgb+lr)->lr,bagged,0.765026455026455,0.7421872029135531,0.7183333333333334
stack(xgb+lr)->lr,127,0.765026455026455,0.7421872029135531,0.7183333333333334
single_lr(all+boundary),127,0.7535449735449736,0.7453926734977565,0.7233333333333334
bagged_lr(all+boundary),bagged,0.7535449735449736,0.7453926734977565,0.7233333333333334
