stage2_xgb_variant,stage2_k_features,cascade_mode,seed,balanced_accuracy,macro_f1,accuracy
slow-learner,80,soft,3407,0.752962962962963,0.7330897145443797,0.7116666666666667
d3-mid,120,hard@0.4,3407,0.752857142857143,0.7304401939795927,0.7083333333333334
d2-more-trees,80,hard@0.4,3407,0.752857142857143,0.7305536842568743,0.7083333333333334
slow-learner,100,soft,3407,0.7524867724867725,0.7328341645414816,0.7116666666666667
d2-more-trees,100,soft,3407,0.7518518518518519,0.7318415466957955,0.71
v7-default,100,hard@0.4,3407,0.7517460317460317,0.7293044756377416,0.7066666666666667
deeper,120,hard@0.4,3407,0.7507936507936508,0.7286702494143585,0.7066666666666667
less-reg,120,hard@0.4,3407,0.7506349206349207,0.7279456286685203,0.705
slow-learner,all,hard@0.4,3407,0.7504761904761906,0.729186619855017,0.7083333333333334
d3-more-trees,all,hard@0.4,3407,0.7503174603174604,0.7285141281094063,0.7066666666666667
d3-mid,120,soft,3407,0.7502645502645503,0.7303416480642085,0.7083333333333334
d2-more-trees,80,soft,3407,0.7502645502645503,0.7303416480642085,0.7083333333333334
d2-more-trees,160,hard@0.4,3407,0.7498412698412699,0.7282346024829685,0.7066666666666667
v7-default,80,hard@0.4,3407,0.7496825396825398,0.7275403059115337,0.705
v7-default,100,soft,3407,0.7491534391534392,0.7290954797789134,0.7066666666666667
v7-default,120,hard@0.4,3407,0.7490476190476191,0.726444961061373,0.7033333333333334
less-reg,all,hard@0.4,3407,0.748888888888889,0.7276510448974948,0.7066666666666667
d3-mid,80,hard@0.4,3407,0.7482539682539683,0.7267074224200943,0.705
deeper,120,soft,3407,0.7482010582010582,0.728572136773772,0.7066666666666667
d3-more-trees,100,soft,3407,0.7479894179894181,0.730477671245508,0.7116666666666667
d3-more-trees,80,hard@0.4,3407,0.7476190476190476,0.7256368132838721,0.7033333333333334
v7-default,80,soft,3407,0.7470899470899471,0.7273298797689041,0.705
deeper,100,soft,3407,0.7468783068783069,0.7293684089049645,0.71
d2-more-trees,all,hard@0.4,3407,0.7466666666666667,0.7251759763803856,0.7033333333333334
v7-default,120,soft,3407,0.7464550264550264,0.7263494128620311,0.7033333333333334
strong-reg,all,hard@0.4,3407,0.7463492063492062,0.7238046289459681,0.7
d3-mid,80,soft,3407,0.7456613756613756,0.7264904305369221,0.705
deeper,all,hard@0.4,3407,0.7453968253968254,0.7232695264611664,0.7
d3-more-trees,80,soft,3407,0.745026455026455,0.7255400549518196,0.7033333333333334
less-reg,120,soft,3407,0.7443386243386243,0.7254834342270863,0.7033333333333334
slow-learner,all,soft,3407,0.7441798941798942,0.7266007717717177,0.7066666666666667
d2-more-trees,all,soft,3407,0.744074074074074,0.724959773643063,0.7033333333333334
d3-more-trees,all,soft,3407,0.7440211640211639,0.7259344465081528,0.705
v7-default,160,hard@0.4,3407,0.7439682539682538,0.7224050220775783,0.7
d3-mid,all,hard@0.4,3407,0.7439682539682538,0.7224050220775783,0.7
strong-reg,all,soft,3407,0.7437566137566138,0.7236033459451491,0.7
d2-more-trees,160,soft,3407,0.7435449735449735,0.7256535523388562,0.705
slow-learner,160,hard@0.4,3407,0.7433333333333333,0.7214644529587058,0.6983333333333334
v7-default,all,hard@0.4,3407,0.7420634920634921,0.7195460449551989,0.695
strong-reg,160,hard@0.4,3407,0.7420634920634921,0.7194405005960459,0.695
less-reg,80,hard@0.4,3407,0.7415873015873015,0.7192724266225713,0.695
less-reg,160,hard@0.4,3407,0.7414285714285714,0.7202355075488183,0.6983333333333334
v7-default,160,soft,3407,0.7413756613756615,0.7221925478697518,0.7
deeper,80,hard@0.4,3407,0.7412698412698413,0.7196340677747712,0.6966666666666667
slow-learner,160,soft,3407,0.7407407407407408,0.7212571600444777,0.6983333333333334
v7-default,all,soft,3407,0.7394708994708994,0.7193493821435238,0.695
strong-reg,160,soft,3407,0.7394708994708994,0.7193493821435238,0.695
d3-more-trees,160,hard@0.4,3407,0.7382539682539683,0.7171195397685465,0.695
d3-mid,all,soft,3407,0.7376719576719576,0.7198337902840932,0.6983333333333334
deeper,160,hard@0.4,3407,0.7374603174603175,0.7156324894234389,0.6916666666666667
deeper,all,soft,3407,0.7353968253968254,0.7183228303546357,0.6966666666666667
less-reg,80,soft,3407,0.7352910052910052,0.7167148433539102,0.6933333333333334
less-reg,all,soft,3407,0.7351851851851853,0.7202874259983144,0.7016666666666667
deeper,80,soft,3407,0.734973544973545,0.7170684194542063,0.695
d3-mid,160,hard@0.4,3407,0.7315873015873016,0.7097742058936088,0.685
less-reg,160,soft,3407,0.7314285714285714,0.71528885531359,0.695
d3-more-trees,160,soft,3407,0.7282539682539683,0.7121795289088522,0.6916666666666667
deeper,160,soft,3407,0.7274603174603175,0.7107027233335579,0.6883333333333334
d3-mid,160,soft,3407,0.7215873015873017,0.7048584793167527,0.6816666666666666
