method,seed,balanced_accuracy,macro_f1,accuracy
cascade_soft,127,0.7843915343915344,0.7644862108799279,0.74
cascade_soft,2024,0.7769312169312169,0.7544004279723819,0.7316666666666667
bagged_cascade_soft,bagged,0.7764550264550265,0.7513699039828965,0.7316666666666667
cascade_soft,520,0.7715873015873015,0.7515281234251129,0.73
flat_3class,127,0.7697883597883598,0.7545041947098023,0.735
flat_3class,2024,0.7687301587301588,0.7589100678180619,0.7366666666666667
flat_3class,3407,0.7621693121693122,0.7492464921511214,0.7233333333333334
bagged_flat_3class,bagged,0.7596825396825397,0.7524518094410567,0.7266666666666667
flat_3class,42,0.7482010582010582,0.7292072627967472,0.7016666666666667
cascade_soft,3407,0.7464550264550264,0.7263494128620311,0.7033333333333334
cascade_soft,42,0.7459259259259259,0.7180555555555556,0.6933333333333334
flat_3class,520,0.7299470899470899,0.7173005083306548,0.6933333333333334
